 Loan Number ,Disbursement Date,Loan Term,Loan Amount,Closing Balance,Interest Rate,Admin Fee,Credit Insurance Fee,Loan Type
"100,120,622,000,106",15/03/2023,6,230,-0.24,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,107",20/03/2023,9,166,-122.69,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,108",17/03/2023,6,350,0.58,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,109",23/03/2023,6,670,0.15,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,110",03/04/2023,9,1330,-766.37,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,111",05/04/2023,6,600,5.92,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,112",06/04/2023,6,236.02,-234.12,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,113",11/04/2023,9,3067,-1681.71,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,114",04/04/2023,6,520,-250.37,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,115",24/04/2023,9,780,0,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,116",26/04/2023,9,1000,0,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,117",28/04/2023,9,1540,-0.48,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,118",28/04/2023,6,2219,-417.9,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,119",28/04/2023,9,800,-574.98,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,120",03/05/2023,6,861,-333.31,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,121",03/05/2023,9,1361,0.56,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,122",03/05/2023,9,700,-777.51,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,123",04/05/2023,9,552,-456.37,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,124",09/05/2023,6,700,-353.01,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,125",08/05/2023,6,385,-146.36,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,126",10/05/2023,6,276,-30.99,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,127",10/05/2023,9,400,-261.42,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,128",09/05/2023,9,300,-250.24,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,129",11/05/2023,9,650,-656.02,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,130",10/05/2023,9,350,-230.82,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,131",23/05/2023,9,221,-141.06,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,132",24/05/2023,6,1000,-54.97,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,133",30/05/2023,6,3725,-0.25,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,134",30/05/2023,6,1103,-315.64,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,135",29/05/2023,9,200,-213.56,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,136",31/05/2023,9,3160,-1998.11,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,137",05/06/2023,9,1750,0,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,138",05/06/2023,9,5110,-5210.77,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,139",06/06/2023,6,450,-300.21,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,140",12/06/2023,9,607,-667.46,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,141",06/06/2023,6,500,-386.79,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,142",06/06/2023,9,1350,-1059.74,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,143",02/06/2023,6,1150,-1343.66,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,144",07/06/2023,8,350,-243.08,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,145",02/06/2023,9,1123,-1238.01,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,146",13/06/2023,9,1110,-851.02,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,147",28/06/2023,9,5000,-5332.53,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,148",28/06/2023,9,517.26,-537.07,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,149",26/06/2023,9,800,-587.91,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,150",03/07/2023,9,1795,-1617.47,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,151",03/07/2023,9,862,-771.07,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,152",03/07/2023,9,2015.5,-1792.49,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,153",03/07/2023,9,504,-365.78,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,154",19/07/2023,9,1900,-1625.69,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,155",05/07/2023,6,1425,-1047.32,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,156",06/07/2023,9,1416,-1029.67,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,157",26/07/2023,9,800,-928.07,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,158",28/07/2023,2,165.5,0.61,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,159",28/07/2023,9,628.8,-525.96,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,160",31/07/2023,9,1500,-1479.3,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,161",05/06/2023,1,1750,-0.71,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,162",07/08/2023,9,700,-691.74,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,163",08/08/2023,12,8730,-7307.85,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,164",09/08/2023,9,456.77,-530.36,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,165",30/08/2023,9,1434,-1567.56,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,166",18/08/2023,6,450,-399.16,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,167",28/08/2023,9,1300,-1209.26,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,168",04/09/2023,9,735.3,-735.3,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,169",25/08/2023,9,300,-281.69,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,170",25/08/2023,9,250,-277.24,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,171",18/08/2023,9,1650,-1579.93,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,172",01/09/2023,9,387,-420.62,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,173",01/09/2023,9,679,-737.99,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,174",15/09/2023,9,1006,-1006,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,175",19/09/2023,8,3500,-3500,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,176",29/09/2023,4,568.21,-568.21,0.09,0.0683,0.017,CONSUMER
"100,120,622,000,177",27/09/2023,9,512.12,-512.12,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,001",02/08/2022,6,280,60.6,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,002",10/08/2022,6,412.48,-0.03,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,003",17/08/2022,6,1600,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,004",17/08/2022,6,650,0.03,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,005",04/08/2022,6,250,0.04,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,006",04/08/2022,6,600,151.45,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,007",02/08/2022,6,1400,354.65,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,008",16/08/2022,6,1330.1,-174.39,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,009",15/08/2022,6,1043.34,-215.18,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,010",11/08/2022,6,297.78,-0.01,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,011",10/08/2022,6,355.13,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,012",17/08/2022,6,355.13,0,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,013",16/08/2022,6,355.13,-0.02,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,014",19/08/2022,6,355.13,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,015",27/08/2022,6,240.43,0,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,016",12/08/2022,6,400,0.02,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,017",02/08/2022,6,800,-270.2,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,018",22/08/2022,6,4000,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,019",19/08/2022,6,300,0.3,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,020",26/08/2022,6,850,-1031.49,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,021",30/08/2022,6,590,-0.01,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,022",23/08/2022,6,1200,0,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,023",23/08/2022,6,450,-156.81,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,024",30/08/2022,6,550,0,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,025",08/09/2022,6,699.24,-87.5,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,026",08/09/2022,6,1731.55,-216.67,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,027",06/09/2022,6,400,0.02,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,028",21/09/2022,6,500,0.02,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,029",21/09/2022,6,1000,-0.02,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,030",02/09/2022,6,1000,-0.01,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,031",22/09/2022,6,500,-61,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,032",26/09/2022,6,350,-12.1,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,033",22/09/2022,9,1000,0,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,034",26/09/2022,6,1500,0.31,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,035",07/11/2022,6,500,-0.02,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,036",07/11/2022,6,600,0.02,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,037",07/11/2022,6,1200,-752.38,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,038",07/11/2022,6,520,-108.54,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,039",07/11/2022,6,300,-188.53,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,040",07/11/2022,6,1100,-9.93,0.09,0.0683,0.017,CONSUMER
"100,120,700,000,041",16/11/2022,6,1100,12.97,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,001",24/08/2022,4,355.13,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,002",25/08/2022,6,985.99,0,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,003",11/08/2022,2,355.13,199.35,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,004",24/08/2022,4,756.59,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,005",19/08/2022,6,355.13,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,006",26/08/2022,4,240.43,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,007",30/08/2022,4,183.08,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,008",22/08/2022,6,297.78,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,009",26/08/2022,4,240.43,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,010",11/08/2022,6,230,0.22,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,011",11/08/2022,6,200,0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,012",17/08/2022,4,469,0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,013",16/08/2022,6,699.24,-0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,014",17/08/2022,6,183.08,0,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,015",17/08/2022,6,240.43,8.91,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,016",12/08/2022,6,298,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,017",26/08/2022,6,298,-0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,018",30/08/2022,6,298,-0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,019",30/08/2022,6,298,-0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,020",16/08/2022,6,584.54,0.03,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,021",30/08/2022,4,240.43,-0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,022",30/08/2022,4,240.43,-0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,023",24/08/2022,5,240.43,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,024",30/08/2022,4,183.08,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,025",22/08/2022,6,355.13,-0.03,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,026",19/08/2022,6,297.78,0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,027",18/08/2022,4,1100,0,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,028",22/08/2022,5,527.19,-0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,029",24/08/2022,4,240.43,-139.03,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,030",22/08/2022,4,183.08,-0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,031",30/08/2022,4,183.08,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,032",30/08/2022,4,183.08,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,033",15/08/2022,6,1180,-0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,034",06/09/2022,3,183.08,-1.15,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,035",06/09/2022,3,183.08,-1.39,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,036",06/09/2022,3,183.08,-1.39,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,037",06/09/2022,3,183.08,-1.39,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,038",06/09/2022,3,297.78,-2.24,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,039",07/09/2022,3,527.19,-2.91,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,040",02/09/2022,3,412.48,-6.57,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,041",01/09/2022,4,297.78,-84.86,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,042",02/09/2022,3,183.08,-214.27,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,043",01/09/2022,4,183.08,-52.18,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,044",01/09/2022,4,183.08,-208.72,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,045",07/09/2022,3,240.43,-1.32,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,046",06/09/2022,3,125.73,-146.09,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,047",12/09/2022,3,183.08,71,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,048",12/09/2022,3,183.08,0,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,049",12/09/2022,3,125.73,-0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,050",12/09/2022,3,125.73,-144.55,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,051",06/09/2022,4,297.78,-88.87,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,052",10/09/2022,3,125.73,-48.35,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,053",12/09/2022,3,170,-48.86,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,054",12/09/2022,3,183.08,0,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,055",12/09/2022,3,150,0,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,056",20/09/2022,3,240.43,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,057",13/09/2022,3,240.43,0,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,058",05/09/2022,3,183.08,-1.76,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,059",01/09/2022,4,297.78,-84.86,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,060",01/09/2022,4,183.08,-52.18,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,061",07/09/2022,3,240.43,-1.26,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,062",06/09/2022,3,300,-87.14,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,063",08/09/2022,6,412.48,-258.08,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,064",08/09/2022,3,183.03,-52.97,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,065",12/09/2022,3,928.68,-533.6,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,066",05/09/2022,6,600,4.75,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,067",02/09/2022,6,400,-9.4,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,068",26/09/2022,3,188,-0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,069",26/09/2022,3,129,-0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,070",22/09/2022,3,118,-44.41,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,071",22/09/2022,3,372,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,072",26/09/2022,3,188,-0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,073",06/10/2022,6,750,0.91,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,074",27/10/2022,2,205,1.34,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,075",27/10/2022,2,200,0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,076",31/10/2022,2,240.43,-75.66,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,077",09/11/2022,2,126,0,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,078",11/11/2022,6,290,-180.31,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,079",11/11/2022,6,355.13,-220.79,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,080",11/11/2022,6,335,-416.6,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,081",17/11/2022,6,600,4.56,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,082",17/11/2022,6,240.43,0,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,083",16/11/2022,6,584.54,-359.48,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,084",24/11/2022,6,550,0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,085",15/11/2022,6,297.78,-245.11,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,086",17/11/2022,2,100,55.48,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,087",29/11/2022,6,1000,-0.36,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,088",29/11/2022,23,5236,-1825.47,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,089",01/12/2022,6,250,1.33,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,090",05/12/2022,4,331,-9.99,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,091",05/12/2022,2,89,0.11,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,092",05/12/2022,6,1000,-0.1,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,093",07/12/2022,6,1158.05,-241.87,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,094",08/12/2022,6,350,-72.83,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,095",08/12/2022,6,350,3.17,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,096",08/12/2022,6,350,-139.83,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,097",06/12/2022,6,340,-354.25,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,098",12/12/2022,6,650,33.69,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,099",15/12/2022,6,800,13.72,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,100",11/01/2023,6,1200,0.05,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,101",09/01/2023,6,150,0.03,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,102",13/01/2023,6,224,-92.5,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,103",05/01/2023,6,1200,-251.37,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,104",22/01/2023,6,700,0,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,105",26/01/2023,6,3300,0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,106",20/01/2023,6,250,-51.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,107",23/01/2023,6,1158.05,0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,108",07/01/2023,4,662,0.94,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,109",31/01/2023,6,1520,0,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,110",03/02/2023,6,4000,-0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,111",02/02/2023,6,400,5.49,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,112",20/02/2023,6,800,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,113",20/02/2023,6,904,9.95,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,114",17/02/2023,6,500,16.24,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,115",10/02/2023,6,500,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,116",16/02/2023,6,584.54,118.98,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,117",10/02/2023,6,584,18.82,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,118",10/02/2023,6,580,0,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,119",10/02/2023,6,600,0.22,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,120",10/02/2023,6,600,6.68,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,121",10/02/2023,6,699.24,0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,122",18/02/2023,3,573.51,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,123",22/02/2023,6,183.08,-148.55,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,124",22/02/2023,4,297.78,-46.7,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,125",22/02/2023,4,200,-67.16,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,126",22/02/2023,4,125.73,-72.63,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,127",20/02/2023,6,505,105.51,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,128",17/02/2023,6,488,-0.81,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,129",15/02/2023,4,125.73,-13.55,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,130",08/02/2023,9,400,0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,131",28/02/2023,6,355.13,-0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,132",24/02/2023,6,1100.69,0.52,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,133",24/02/2023,6,871.29,0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,134",24/02/2023,6,699.24,0,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,135",22/02/2023,4,871.29,-755.04,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,136",24/02/2023,6,469.84,-379.85,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,137",23/02/2023,3,125.73,-47.06,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,138",24/02/2023,6,699.24,0,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,139",10/02/2023,9,742.25,-463.41,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,140",27/02/2023,6,276,3.08,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,141",28/02/2023,4,183.08,-104.65,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,142",17/02/2023,4,494,-287.93,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,143",01/03/2023,6,1500,-600.98,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,144",31/01/2023,6,1520,-319.03,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,145",02/03/2023,6,700,-147.78,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,146",06/03/2023,3,125.73,-48.76,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,147",02/03/2023,6,300,-63.36,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,148",06/03/2023,6,560,6.33,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,149",02/03/2023,6,1215.4,-250.28,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,150",02/03/2023,6,584,-123.35,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,151",08/03/2023,6,2850,-333.33,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,152",02/03/2023,6,900,-940.57,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,153",01/03/2023,4,125.73,-71.73,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,154",15/03/2023,6,1100,296.89,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,155",17/03/2023,7,2500,-3393.66,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,156",15/03/2023,6,750,-149.23,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,157",13/03/2023,3,125.73,-144.45,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,158",13/03/2023,6,350,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,159",14/03/2023,3,240.43,-91.92,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,160",10/03/2023,6,800,25.53,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,161",10/03/2023,6,1000,31.53,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,162",10/03/2023,9,3000,-2028.12,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,163",10/03/2023,9,2200,-1035.95,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,164",17/03/2023,9,300,0.01,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,165",10/03/2023,9,900,-387.43,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,166",22/03/2023,6,552,-0.02,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,167",22/03/2023,6,470,-191.59,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,168",19/03/2023,6,600,1.34,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,169",17/03/2023,6,662,4.2,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,170",23/03/2023,6,600,6.58,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,171",30/03/2023,6,700,-140.61,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,172",28/03/2023,2,221,0.32,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,173",29/03/2023,6,250,-0.66,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,174",30/03/2023,6,1000,-195.53,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,175",28/03/2023,36,20000,0,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,176",30/03/2023,9,1372.01,-1184.59,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,177",31/03/2023,6,650,-130.34,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,178",13/03/2023,6,584.54,-192.04,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,179",03/04/2023,6,1300,-1438.8,0.09,0.0683,0.017,CONSUMER
"100,120,704,000,180",03/04/2023,6,250,16.37,0.09,0.0683,0.017,CONSUMER
