,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Entertainment,0,0,1210.020833,0,0,1225.209203,0,0,1240.58822,0,0,1255.11782,0,0,1267.710882,0,0,1280.430294,0,0,1293.277326,0,0,1305.168328,0,0,1314.981583,0,0,1324.868621,0,0,1334.829998,0,0,1344.866272,0,0,1354.978006,0,0,1365.165768,0,0,1375.43013,0,0,1385.771666,0,0,1396.190959,0,0,1406.688591,0,0,1417.265153,0,0,1427.921238
Marketing Costs,4850,19450,27950,8100,6200,21950,3650,12950,27850,5100,9950,8750,13708.02203,13753.71544,13799.56116,13845.5597,13891.71156,13938.01727,13984.47732,14031.09225,14077.86256,14124.78877,14171.87139,14207.30107,14242.81933,14278.42637,14314.12244,14349.90775,14385.78252,14421.74697,14457.80134,14493.94584,14530.18071,14566.50616,14602.92242,14639.42973,14676.0283,14712.71838,14749.50017,14786.37392,14823.33986,14860.39821,14897.5492,14934.79307,14972.13006,15009.56038,15047.08428,15084.70199,15122.41375,15160.21978,15198.12033,15236.11563,15274.20592,15312.39144,15350.67242,15389.0491,15427.52172,15466.09052,15504.75575,15543.51764
Group Marketing Costs,5922.330477,5922.330477,5922.330477,5922.330477,5922.330477,5922.330477,5922.330477,5922.330477,5922.330477,5922.330477,5922.330477,5922.330477,6214.999937,6235.716603,6256.502325,6277.357333,6298.281857,6319.27613,6340.340384,6361.474852,6382.679768,6403.955367,6425.301885,6441.36514,6457.468553,6473.612224,6489.796255,6506.020745,6522.285797,6538.591512,6554.937991,6571.325336,6587.753649,6604.223033,6620.733591,6637.285425,6653.878638,6670.513335,6687.189618,6703.907592,6720.667361,6737.46903,6754.312702,6771.198484,6788.12648,6805.096796,6822.109538,6839.164812,6856.262724,6873.403381,6890.586889,6907.813357,6925.08289,6942.395597,6959.751586,6977.150965,6994.593843,7012.080327,7029.610528,7047.184554
Rental Costs,1257.944856,1257.944856,1257.944856,1257.944856,1257.944856,1257.944856,1257.944856,1257.944856,1257.944856,1257.944856,1257.944856,1257.944856,1320.109918,1324.510284,1328.925318,1333.355069,1337.799586,1342.258918,1346.733115,1351.222225,1355.726299,1360.245387,1364.779538,1368.191487,1371.611966,1375.040995,1378.478598,1381.924794,1385.379606,1388.843055,1392.315163,1395.795951,1399.285441,1402.783654,1406.290614,1409.80634,1413.330856,1416.864183,1420.406344,1423.957359,1427.517253,1431.086046,1434.663761,1438.250421,1441.846047,1445.450662,1449.064288,1452.686949,1456.318666,1459.959463,1463.609362,1467.268385,1470.936556,1474.613898,1478.300432,1481.996183,1485.701174,1489.415427,1493.138965,1496.871813
Subscriptions,265.0594393,265.0594393,265.0594393,265.0594393,265.0594393,265.0594393,265.0594393,265.0594393,265.0594393,265.0594393,265.0594393,265.0594393,278.1581347,279.0853285,280.0156129,280.9489983,281.885495,282.8251133,283.7678637,284.7137565,285.6628024,286.6150117,287.5703951,288.2893211,289.0100444,289.7325695,290.4569009,291.1830432,291.9110008,292.6407783,293.3723803,294.1058112,294.8410757,295.5781784,296.3171239,297.0579167,297.8005615,298.5450629,299.2914255,300.0396541,300.7897532,301.5417276,302.2955819,303.0513209,303.8089492,304.5684716,305.3298927,306.0932175,306.8584505,307.6255966,308.3946606,309.1656473,309.9385614,310.7134078,311.4901913,312.2689168,313.0495891,313.8322131,314.6167936,315.4033356
Insurance,2666.666667,2666.666667,2666.666667,2666.666667,2666.666667,2666.666667,2666.666667,2666.666667,2666.666667,2666.666667,2666.666667,2666.666667,2798.447879,2807.776039,2817.135292,2826.525743,2835.947496,2845.400654,2854.885323,2864.401607,2873.949613,2883.529445,2893.14121,2900.374063,2907.624998,2914.89406,2922.181295,2929.486749,2936.810466,2944.152492,2951.512873,2958.891655,2966.288884,2973.704607,2981.138868,2988.591715,2996.063195,3003.553352,3011.062236,3018.589891,3026.136366,3033.701707,3041.285961,3048.889176,3056.511399,3064.152678,3071.813059,3079.492592,3087.191324,3094.909302,3102.646575,3110.403192,3118.1792,3125.974648,3133.789584,3141.624058,3149.478118,3157.351814,3165.245193,3173.158306
Repairs And Maintenance,864.2754849,864.2754849,864.2754849,864.2754849,864.2754849,864.2754849,864.2754849,864.2754849,864.2754849,864.2754849,864.2754849,864.2754849,906.9862117,910.0094991,913.0428641,916.0863403,919.1399614,922.2037613,925.2777738,928.3620331,931.4565732,934.5614284,937.6766332,940.0208248,942.3708768,944.726804,947.088621,949.4563426,951.8299834,954.2095584,956.5950823,958.98657,961.3840364,963.7874965,966.1969653,968.6124577,971.0339888,973.4615738,975.8952277,978.3349658,980.7808032,983.2327552,985.6908371,988.1550642,990.6254518,993.1020155,995.5847705,998.0737324,1000.568917,1003.070339,1005.578015,1008.09196,1010.61219,1013.13872,1015.671567,1018.210746,1020.756273,1023.308164,1025.866434,1028.4311
Utilities,1405.218249,1405.218249,1405.218249,1405.218249,1405.218249,1405.218249,1405.218249,1405.218249,1405.218249,1405.218249,1405.218249,1405.218249,1474.661261,1479.576798,1484.508721,1489.457083,1494.42194,1499.403347,1504.401358,1509.416029,1514.447416,1519.495574,1524.560559,1528.37196,1532.19289,1536.023373,1539.863431,1543.71309,1547.572372,1551.441303,1555.319906,1559.208206,1563.106227,1567.013992,1570.931527,1574.858856,1578.796003,1582.742993,1586.699851,1590.6666,1594.643267,1598.629875,1602.62645,1606.633016,1610.649598,1614.676222,1618.712913,1622.759695,1626.816594,1630.883636,1634.960845,1639.048247,1643.145868,1647.253732,1651.371867,1655.500296,1659.639047,1663.788145,1667.947615,1672.117484
Stationery,650,650,650,650,650,650,650,650,650,650,650,650,682.1216706,684.3954095,686.6767275,688.96565,691.2622021,693.5664095,695.8782975,698.1978918,700.5252181,702.8603022,705.2031699,706.9661778,708.7335932,710.5054272,712.2816908,714.062395,715.847551,717.6371699,719.4312628,721.2298409,723.0329156,724.8404978,726.6525991,728.4692306,730.2904037,732.1161297,733.94642,735.781286,737.6207393,739.4647911,741.3134531,743.1667367,745.0246536,746.8872152,748.7544332,750.6263193,752.5028851,754.3841423,756.2701027,758.1607779,760.0561799,761.9563203,763.8612111,765.7708642,767.6852913,769.6045045,771.5285158,773.4573371
Admin Costs,38311.23198,19469.84264,10296.64407,21027.8049,10350.58241,10677.72025,11725.59002,10726.86274,16348.82728,11804.73415,10792.97626,10515.16118,40204.49471,20500.10912,10877.63978,22288.36195,11007.6406,11393.39707,12553.20557,11522.26608,17619.63969,12764.73694,11709.60165,11436.71278,41773.01092,21282.19826,11283.24777,23100.25343,11399.13703,11788.81376,12978.08621,11902.35925,18185.75424,13163.92212,12065.76039,11784.57135,43043.57702,21929.51668,11626.43855,23802.86974,11745.85269,12147.38181,13372.82712,12264.38089,18738.89136,13564.3154,12432.75203,12143.01036,44352.78861,22596.52391,11980.0678,24526.8568,12103.11404,12516.85605,13779.57445,12637.41377,19308.85267,13976.88704,12810.90608,12512.35164
