,Sep-2023,Oct-2023,Nov-2023,Dec-2023,Jan-2024,Feb-2024,Mar-2024,Apr-2024,May-2024,Jun-2024,Jul-2024,Aug-2024,Sep-2024,Oct-2024,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025,Dec-2025,Jan-2026,Feb-2026,Mar-2026,Apr-2026,May-2026,Jun-2026,Jul-2026,Aug-2026,Sep-2026,Oct-2026,Nov-2026,Dec-2026,Jan-2027,Feb-2027,Mar-2027,Apr-2027,May-2027,Jun-2027,Jul-2027,Aug-2027,Sep-2027,Oct-2027,Nov-2027,Dec-2027,Jan-2028,Feb-2028,Mar-2028,Apr-2028,May-2028,Jun-2028,Jul-2028,Aug-2028
Opening Balance,112077.24820064093,661432.6749119897,1238873.0069585692,1900818.0825326124,2478293.1835921863,3254880.918654916,3946167.3356050774,4749985.204754272,5664237.4511740245,6621507.646895422,7827764.192620856,8809890.622969788,9669514.839627864,10408639.326510254,11037883.824675413,11595818.158947542,12084048.798396641,12506299.096199485,12858781.610111643,13132289.35725494,13401055.626075465,13670121.811911331,13939185.663211789,14208247.174140496,14478247.174140498,14748247.174140498,15018247.174140498,15288247.174140498,15558247.174140498,15828247.174140498,16098247.174140498,16368247.174140498,16638247.174140498,16908247.174140498,17178247.174140498,17448247.174140498,17718247.174140498,17988247.174140498,18258247.174140498,18528247.174140498,18798247.174140498,19068247.174140498,19338247.174140498,19608247.174140498,19878247.174140498,20148247.174140498,20418247.174140498,20688247.174140498,20958247.174140498,21228247.174140498,21498247.174140498,21768247.174140498,22038247.174140498,22308247.174140498,22578247.174140498,22848247.174140498,23118247.174140498,23388247.174140498,23658247.174140498,23928247.174140498
New Disbursements,609011.05,651480.25,805080.25,808900.0,1097573.0,1141909.25,1396650.0,1588680.0,1735000.0,2095000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0,2035000.0
Repayments,-66281.81206430728,-122625.85846719806,-238325.40031586704,-377362.0395704452,-505716.432193181,-687691.1790457916,-876063.2545479357,-1010695.0371419699,-1179441.1707628607,-1350484.4048676365,-1598698.2230026564,-1790355.375158343,-1968088.9632358444,-2123707.255689232,-2230235.7856447482,-2328189.572990127,-2415286.542756604,-2500159.1560022063,-2587691.2684430648,-2593846.0155176288,-2594047.486163075,-2594047.486163075,-2594047.486163075,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104,-2593106.650869104
Interest Income,6626.188775655999,48585.940513777365,95190.22588991023,145937.1406300189,184731.16725591043,237068.34599595322,283231.1236971296,336267.28356172325,401711.3664842583,461740.95059307036,545824.6533515897,614979.5918164201,672213.4501182336,717951.7538543897,753170.1199168784,781420.2124392258,802536.8405594465,817641.6699143641,826199.0155863606,827612.2843381532,828113.6719989417,828111.3374635314,828108.9970917825,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043,828106.6508691043
Closing Balance,661432.6749119897,1238873.0069585692,1900818.0825326124,2478293.1835921863,3254880.918654916,3946167.3356050774,4749985.204754272,5664237.4511740245,6621507.646895422,7827764.192620856,8809890.622969788,9669514.839627864,10408639.326510254,11037883.824675413,11595818.158947542,12084048.798396641,12506299.096199485,12858781.610111643,13132289.35725494,13401055.626075465,13670121.811911331,13939185.663211789,14208247.174140496,14478247.174140498,14748247.174140498,15018247.174140498,15288247.174140498,15558247.174140498,15828247.174140498,16098247.174140498,16368247.174140498,16638247.174140498,16908247.174140498,17178247.174140498,17448247.174140498,17718247.174140498,17988247.174140498,18258247.174140498,18528247.174140498,18798247.174140498,19068247.174140498,19338247.174140498,19608247.174140498,19878247.174140498,20148247.174140498,20418247.174140498,20688247.174140498,20958247.174140498,21228247.174140498,21498247.174140498,21768247.174140498,22038247.174140498,22308247.174140498,22578247.174140498,22848247.174140498,23118247.174140498,23388247.174140498,23658247.174140498,23928247.174140498,24198247.174140498
